"IMAG1" "IMAG2" "IMAG3" "IMAG4" "IMAG5" "CUEX1" "CUEX2" "CUEX3" "PERQ1" "PERQ2" "PERQ3" "PERQ4" "PERQ5" "PERQ6" "PERQ7" "PERV1" "PERV2" "CUSA1" "CUSA2" "CUSA3" "CUSCO" "CUSL1" "CUSL2" "CUSL3"
"150" 66.67 100 66.67 77.78 77.78 66.67 100 100 100 77.78 66.67 66.67 88.89 100 66.67 44.44 66.67 77.78 77.78 55.56 100 100 33.33 100
"151" 100 100 66.67 88.89 77.78 77.78 77.78 100 88.89 77.78 100 88.89 88.89 88.89 88.89 77.78 77.78 88.89 66.67 77.78 44.44 100 55.56 100
"152" 77.78 77.78 77.78 77.78 77.78 77.78 77.78 77.78 77.78 55.56 77.78 77.78 77.78 77.78 77.78 44.44 66.67 77.78 77.78 77.78 77.78 77.78 55.56 77.78
"153" 44.44 100 77.78 100 100 66.67 100 44.44 77.78 100 44.44 77.78 100 44.44 44.44 0 55.56 77.78 33.33 77.78 100 88.89 22.22 100
"154" 0 0 100 100 100 100 100 100 100 44.44 100 100 100 0 100 44.44 100 88.89 100 66.67 44.44 100 55.56 100
"155" 88.89 88.89 66.67 55.56 66.67 66.67 77.78 100 77.78 88.89 88.89 77.78 66.67 77.78 66.67 55.56 66.67 77.78 77.78 66.67 55.56 66.67 0 66.67
"156" 77.78 77.78 66.67 77.78 77.78 88.89 77.78 88.89 77.78 66.67 77.78 77.78 66.67 77.78 77.78 55.56 66.67 66.67 77.78 66.67 66.67 77.78 55.56 66.67
"157" 77.78 55.56 55.56 77.78 55.56 77.78 77.78 77.78 88.89 66.67 55.56 11.11 55.56 77.78 100 66.67 66.67 77.78 66.67 66.67 77.78 0 55.56 77.78
"158" 77.78 88.89 88.89 88.89 88.89 55.56 66.67 77.78 77.78 77.78 77.78 77.78 88.89 88.89 77.78 77.78 77.78 88.89 77.78 77.78 77.78 100 100 77.78
"159" 44.44 66.67 22.22 44.44 55.56 22.22 22.22 100 55.56 55.56 55.56 77.78 66.67 55.56 33.33 33.33 55.56 66.67 66.67 55.56 55.56 22.22 33.33 77.78
"160" 66.67 88.89 66.67 77.78 77.78 88.89 66.67 77.78 77.78 77.78 66.67 66.67 77.78 77.78 77.78 88.89 55.56 77.78 66.67 77.78 77.78 88.89 66.67 77.78
"161" 77.78 100 77.78 100 77.78 66.67 77.78 88.89 88.89 55.56 77.78 77.78 77.78 77.78 77.78 66.67 77.78 77.78 66.67 66.67 66.67 100 0 77.78
"162" 77.78 55.56 66.67 77.78 66.67 77.78 66.67 77.78 66.67 66.67 77.78 77.78 77.78 77.78 66.67 44.44 55.56 66.67 66.67 77.78 55.56 100 33.33 66.67
"163" 77.78 88.89 77.78 66.67 88.89 77.78 77.78 66.67 88.89 88.89 88.89 88.89 88.89 77.78 77.78 55.56 77.78 88.89 77.78 88.89 100 88.89 0 100
"164" 55.56 33.33 55.56 66.67 44.44 66.67 55.56 66.67 55.56 44.44 66.67 88.89 55.56 66.67 66.67 77.78 44.44 77.78 55.56 11.11 55.56 55.56 11.11 44.44
"165" 77.78 88.89 66.67 44.44 100 66.67 100 100 66.67 77.78 33.33 55.56 33.33 33.33 0 11.11 0 77.78 22.22 22.22 11.11 100 11.11 100
"166" 66.67 66.67 100 77.78 100 22.22 100 100 100 44.44 55.56 100 100 77.78 100 44.44 66.67 77.78 77.78 100 77.78 44.44 11.11 44.44
"167" 100 77.78 77.78 100 100 77.78 100 100 100 66.67 100 100 100 100 88.89 66.67 66.67 77.78 77.78 77.78 100 100 11.11 100
"168" 44.44 33.33 55.56 77.78 77.78 66.67 88.89 77.78 66.67 22.22 77.78 77.78 77.78 66.67 66.67 55.56 77.78 66.67 55.56 55.56 22.22 88.89 100 66.67
"169" 77.78 77.78 44.44 100 88.89 22.22 66.67 77.78 77.78 44.44 77.78 77.78 66.67 77.78 66.67 44.44 77.78 77.78 55.56 66.67 44.44 77.78 55.56 77.78
"170" 77.78 44.44 66.67 22.22 66.67 88.89 77.78 44.44 77.78 33.33 55.56 55.56 66.67 44.44 33.33 44.44 66.67 77.78 55.56 66.67 88.89 66.67 55.56 77.78
"171" 55.56 66.67 66.67 55.56 66.67 55.56 66.67 100 55.56 22.22 66.67 66.67 66.67 66.67 66.67 55.56 55.56 66.67 55.56 55.56 55.56 77.78 100 55.56
"172" 44.44 100 0 44.44 100 77.78 77.78 100 100 100 100 77.78 100 100 100 100 100 77.78 77.78 100 44.44 100 22.22 100
"173" 77.78 77.78 33.33 88.89 77.78 66.67 66.67 66.67 88.89 88.89 77.78 88.89 77.78 77.78 66.67 66.67 77.78 77.78 66.67 77.78 77.78 77.78 55.56 88.89
"174" 55.56 66.67 44.44 77.78 55.56 77.78 66.67 77.78 77.78 66.67 66.67 66.67 77.78 66.67 88.89 44.44 44.44 66.67 66.67 33.33 100 44.44 88.89 66.67
"175" 88.89 100 77.78 88.89 100 77.78 77.78 88.89 88.89 88.89 88.89 88.89 77.78 88.89 88.89 44.44 77.78 100 88.89 77.78 88.89 0 44.44 100
"176" 77.78 100 66.67 77.78 77.78 66.67 100 100 77.78 100 77.78 77.78 44.44 100 77.78 77.78 66.67 100 77.78 66.67 44.44 44.44 77.78 44.44
"177" 100 55.56 55.56 77.78 100 77.78 66.67 66.67 55.56 44.44 88.89 88.89 77.78 88.89 77.78 100 100 77.78 88.89 100 100 33.33 100 100
"178" 88.89 77.78 66.67 77.78 66.67 88.89 66.67 100 77.78 66.67 88.89 66.67 88.89 88.89 66.67 66.67 66.67 77.78 88.89 66.67 55.56 88.89 44.44 77.78
"179" 66.67 66.67 66.67 66.67 66.67 66.67 66.67 100 66.67 44.44 66.67 66.67 88.89 66.67 66.67 66.67 66.67 77.78 100 66.67 44.44 100 100 100
"180" 77.78 77.78 100 77.78 66.67 77.78 77.78 66.67 77.78 66.67 11.11 66.67 66.67 77.78 66.67 55.56 66.67 77.78 66.67 66.67 33.33 44.44 11.11 66.67
"181" 77.78 77.78 66.67 66.67 88.89 66.67 55.56 100 88.89 77.78 77.78 66.67 66.67 66.67 77.78 55.56 55.56 77.78 66.67 66.67 44.44 77.78 11.11 66.67
"182" 44.44 66.67 77.78 66.67 77.78 44.44 100 44.44 44.44 22.22 44.44 33.33 44.44 33.33 33.33 44.44 11.11 66.67 44.44 55.56 66.67 77.78 77.78 55.56
"183" 100 100 100 100 77.78 100 66.67 100 88.89 77.78 77.78 88.89 88.89 100 88.89 44.44 77.78 77.78 66.67 77.78 77.78 100 0 100
"184" 77.78 77.78 77.78 77.78 77.78 77.78 77.78 77.78 77.78 66.67 77.78 77.78 77.78 77.78 77.78 77.78 77.78 77.78 77.78 66.67 77.78 22.22 44.44 66.67
"185" 66.67 77.78 44.44 66.67 66.67 55.56 66.67 44.44 66.67 33.33 66.67 44.44 55.56 66.67 55.56 55.56 55.56 44.44 44.44 55.56 66.67 33.33 11.11 55.56
"186" 100 88.89 88.89 100 100 100 100 77.78 100 66.67 100 100 100 100 100 100 100 100 100 100 100 100 100 100
"187" 66.67 77.78 55.56 77.78 77.78 44.44 66.67 88.89 88.89 88.89 77.78 100 88.89 100 77.78 77.78 77.78 77.78 55.56 77.78 66.67 88.89 44.44 77.78
"188" 77.78 33.33 22.22 66.67 77.78 0 100 0 55.56 11.11 22.22 44.44 33.33 66.67 11.11 0 0 66.67 33.33 0 33.33 55.56 44.44 66.67
"189" 55.56 66.67 44.44 55.56 88.89 55.56 66.67 44.44 66.67 11.11 55.56 55.56 66.67 55.56 33.33 44.44 55.56 66.67 55.56 55.56 11.11 66.67 22.22 44.44
"190" 88.89 88.89 77.78 77.78 77.78 66.67 77.78 88.89 77.78 88.89 77.78 77.78 77.78 77.78 77.78 66.67 66.67 77.78 66.67 66.67 66.67 100 33.33 77.78
"191" 44.44 44.44 88.89 100 88.89 100 100 88.89 100 44.44 88.89 22.22 22.22 88.89 88.89 0 44.44 88.89 100 77.78 100 100 22.22 77.78
"192" 100 100 100 100 100 77.78 100 66.67 100 77.78 100 100 100 100 77.78 66.67 100 100 44.44 100 44.44 0 55.56 100
"193" 88.89 88.89 100 88.89 77.78 88.89 88.89 77.78 100 77.78 100 88.89 100 88.89 100 55.56 66.67 77.78 100 77.78 44.44 0 55.56 100
"194" 100 100 66.67 0 100 100 100 100 100 100 88.89 100 100 100 77.78 100 88.89 88.89 88.89 77.78 66.67 100 22.22 100
"195" 77.78 77.78 66.67 55.56 77.78 66.67 55.56 66.67 66.67 55.56 66.67 77.78 55.56 77.78 77.78 33.33 55.56 55.56 55.56 66.67 100 44.44 100 44.44
"196" 55.56 77.78 44.44 33.33 77.78 100 77.78 55.56 22.22 88.89 66.67 77.78 66.67 44.44 44.44 44.44 44.44 55.56 44.44 66.67 0 66.67 0 55.56
"197" 100 100 0 100 100 100 100 100 100 100 100 100 100 100 100 44.44 100 100 100 100 100 100 44.44 100
"198" 77.78 100 66.67 100 77.78 100 100 100 100 100 77.78 100 77.78 100 100 100 100 100 100 77.78 0 100 22.22 100
"199" 77.78 66.67 77.78 66.67 66.67 77.78 77.78 66.67 66.67 44.44 77.78 66.67 88.89 77.78 88.89 44.44 55.56 77.78 66.67 55.56 66.67 100 11.11 88.89
"200" 77.78 55.56 77.78 77.78 100 88.89 88.89 88.89 66.67 66.67 66.67 88.89 88.89 77.78 88.89 55.56 66.67 100 77.78 77.78 100 77.78 55.56 88.89
"201" 77.78 77.78 77.78 77.78 55.56 77.78 77.78 77.78 77.78 88.89 88.89 77.78 77.78 88.89 88.89 44.44 66.67 77.78 66.67 88.89 66.67 0 100 88.89
"202" 77.78 66.67 55.56 88.89 77.78 66.67 77.78 66.67 88.89 55.56 88.89 88.89 77.78 66.67 100 77.78 66.67 66.67 100 100 100 100 100 77.78
"203" 66.67 11.11 33.33 55.56 77.78 77.78 66.67 55.56 44.44 0 77.78 44.44 44.44 22.22 77.78 33.33 33.33 77.78 77.78 77.78 33.33 55.56 77.78 77.78
"204" 44.44 22.22 55.56 33.33 66.67 55.56 44.44 77.78 66.67 22.22 55.56 66.67 55.56 77.78 55.56 22.22 44.44 66.67 44.44 44.44 44.44 77.78 100 77.78
"205" 100 66.67 77.78 66.67 77.78 77.78 66.67 66.67 66.67 44.44 66.67 66.67 55.56 55.56 66.67 44.44 44.44 77.78 55.56 77.78 77.78 100 55.56 77.78
"206" 44.44 44.44 44.44 66.67 44.44 44.44 44.44 77.78 66.67 33.33 88.89 66.67 44.44 77.78 77.78 66.67 66.67 55.56 55.56 33.33 44.44 0 11.11 0
"207" 77.78 66.67 77.78 88.89 88.89 77.78 88.89 77.78 77.78 55.56 88.89 88.89 88.89 77.78 88.89 88.89 88.89 66.67 77.78 88.89 77.78 100 100 100
"208" 66.67 77.78 77.78 77.78 77.78 77.78 77.78 55.56 100 88.89 66.67 66.67 88.89 66.67 100 66.67 88.89 100 100 66.67 77.78 77.78 11.11 100
"209" 88.89 77.78 88.89 66.67 88.89 77.78 88.89 22.22 77.78 77.78 66.67 77.78 77.78 77.78 77.78 66.67 66.67 66.67 77.78 66.67 66.67 88.89 66.67 77.78
"210" 100 66.67 44.44 77.78 44.44 44.44 44.44 100 100 44.44 100 77.78 55.56 44.44 100 100 77.78 77.78 77.78 100 66.67 44.44 11.11 100
"211" 44.44 66.67 55.56 66.67 77.78 66.67 66.67 77.78 66.67 66.67 44.44 66.67 66.67 66.67 55.56 66.67 66.67 77.78 66.67 44.44 44.44 77.78 55.56 44.44
"212" 88.89 66.67 77.78 77.78 77.78 66.67 66.67 66.67 77.78 66.67 66.67 77.78 77.78 77.78 77.78 66.67 66.67 66.67 66.67 66.67 66.67 0 55.56 66.67
"213" 44.44 77.78 44.44 77.78 77.78 44.44 44.44 88.89 88.89 77.78 44.44 77.78 77.78 77.78 44.44 22.22 55.56 77.78 44.44 55.56 77.78 77.78 33.33 66.67
"214" 77.78 66.67 55.56 77.78 66.67 66.67 55.56 55.56 77.78 66.67 55.56 66.67 66.67 77.78 66.67 77.78 88.89 77.78 66.67 77.78 55.56 88.89 22.22 77.78
"215" 55.56 55.56 44.44 66.67 66.67 55.56 55.56 33.33 33.33 33.33 77.78 55.56 66.67 33.33 44.44 66.67 55.56 55.56 55.56 55.56 66.67 55.56 55.56 44.44
"216" 66.67 88.89 22.22 33.33 88.89 44.44 44.44 22.22 66.67 66.67 33.33 77.78 77.78 66.67 33.33 11.11 55.56 77.78 88.89 44.44 44.44 0 11.11 44.44
"217" 77.78 77.78 77.78 77.78 100 66.67 66.67 22.22 77.78 66.67 77.78 66.67 77.78 77.78 77.78 77.78 77.78 66.67 66.67 77.78 77.78 100 55.56 100
"218" 77.78 88.89 88.89 88.89 77.78 88.89 77.78 88.89 100 66.67 77.78 88.89 77.78 88.89 88.89 44.44 44.44 88.89 88.89 77.78 77.78 88.89 11.11 88.89
"219" 66.67 66.67 77.78 77.78 77.78 77.78 88.89 66.67 88.89 88.89 77.78 77.78 88.89 77.78 66.67 55.56 55.56 77.78 88.89 77.78 55.56 88.89 11.11 88.89
"220" 11.11 22.22 33.33 22.22 44.44 33.33 22.22 22.22 33.33 22.22 11.11 22.22 22.22 22.22 33.33 22.22 22.22 33.33 22.22 33.33 44.44 0 22.22 22.22
"221" 44.44 66.67 66.67 77.78 44.44 66.67 66.67 66.67 66.67 55.56 77.78 100 66.67 77.78 66.67 44.44 44.44 66.67 77.78 44.44 77.78 66.67 33.33 44.44
"222" 77.78 66.67 66.67 100 88.89 77.78 100 44.44 77.78 66.67 77.78 100 88.89 77.78 22.22 55.56 77.78 88.89 66.67 77.78 77.78 100 0 100
"223" 77.78 77.78 88.89 88.89 88.89 77.78 66.67 66.67 77.78 66.67 88.89 100 77.78 77.78 66.67 66.67 66.67 77.78 77.78 77.78 77.78 88.89 44.44 88.89
"224" 66.67 66.67 88.89 66.67 77.78 77.78 55.56 44.44 66.67 77.78 66.67 77.78 77.78 66.67 77.78 22.22 44.44 77.78 44.44 55.56 77.78 66.67 33.33 66.67
"225" 77.78 44.44 77.78 44.44 77.78 100 77.78 44.44 66.67 44.44 66.67 66.67 66.67 66.67 44.44 33.33 44.44 66.67 77.78 100 100 22.22 0 100
"226" 77.78 55.56 77.78 100 100 66.67 55.56 100 66.67 22.22 77.78 77.78 77.78 77.78 66.67 66.67 55.56 77.78 66.67 66.67 0 100 55.56 66.67
"227" 66.67 33.33 66.67 77.78 66.67 55.56 66.67 55.56 55.56 44.44 66.67 66.67 77.78 44.44 66.67 0 33.33 55.56 66.67 44.44 66.67 33.33 33.33 44.44
"228" 100 77.78 88.89 88.89 100 77.78 100 55.56 66.67 66.67 77.78 88.89 100 100 88.89 77.78 66.67 77.78 88.89 88.89 66.67 88.89 100 77.78
"229" 77.78 77.78 44.44 66.67 66.67 66.67 55.56 55.56 77.78 55.56 66.67 77.78 66.67 66.67 77.78 11.11 33.33 77.78 66.67 55.56 44.44 77.78 77.78 44.44
"230" 100 100 100 100 100 100 100 100 100 66.67 100 100 100 100 100 100 100 100 100 100 100 100 100 100
"231" 44.44 77.78 55.56 55.56 66.67 44.44 0 66.67 66.67 66.67 33.33 66.67 77.78 66.67 33.33 33.33 44.44 55.56 44.44 44.44 33.33 11.11 22.22 22.22
"232" 77.78 77.78 44.44 77.78 77.78 77.78 77.78 44.44 77.78 77.78 77.78 77.78 77.78 77.78 44.44 44.44 77.78 88.89 44.44 77.78 44.44 44.44 33.33 44.44
"233" 100 44.44 77.78 88.89 88.89 77.78 88.89 44.44 66.67 44.44 88.89 100 100 100 100 88.89 88.89 88.89 88.89 77.78 88.89 100 44.44 77.78
"234" 66.67 66.67 66.67 55.56 77.78 77.78 66.67 44.44 66.67 77.78 55.56 66.67 77.78 66.67 77.78 77.78 77.78 66.67 66.67 66.67 55.56 77.78 22.22 66.67
"235" 44.44 77.78 0 66.67 0 44.44 66.67 88.89 55.56 44.44 22.22 55.56 44.44 66.67 22.22 22.22 55.56 66.67 55.56 44.44 66.67 44.44 22.22 44.44
"236" 44.44 66.67 66.67 66.67 77.78 66.67 66.67 44.44 66.67 66.67 66.67 66.67 66.67 66.67 66.67 66.67 66.67 44.44 66.67 66.67 66.67 66.67 100 66.67
"237" 77.78 55.56 33.33 44.44 66.67 55.56 44.44 77.78 77.78 66.67 55.56 66.67 77.78 55.56 66.67 44.44 66.67 77.78 55.56 66.67 77.78 88.89 22.22 77.78
"238" 55.56 66.67 77.78 66.67 66.67 77.78 77.78 55.56 66.67 55.56 55.56 66.67 55.56 66.67 55.56 33.33 55.56 77.78 66.67 55.56 66.67 22.22 100 77.78
"239" 44.44 88.89 55.56 77.78 55.56 88.89 77.78 44.44 44.44 0 33.33 44.44 77.78 55.56 44.44 77.78 55.56 77.78 33.33 33.33 0 11.11 44.44 0
"240" 55.56 77.78 77.78 66.67 66.67 55.56 66.67 66.67 66.67 66.67 77.78 66.67 55.56 55.56 66.67 44.44 66.67 77.78 77.78 77.78 100 33.33 100 88.89
"241" 88.89 66.67 100 100 100 33.33 100 66.67 77.78 66.67 100 100 100 66.67 88.89 77.78 66.67 88.89 100 100 77.78 100 55.56 100
"242" 0 100 0 0 100 100 100 100 88.89 77.78 88.89 100 77.78 100 44.44 0 0 100 77.78 44.44 0 100 55.56 100
"243" 100 77.78 44.44 100 77.78 77.78 77.78 0 77.78 100 77.78 100 77.78 100 100 44.44 44.44 100 77.78 100 100 100 11.11 100
"244" 100 88.89 66.67 100 100 100 100 77.78 77.78 77.78 100 77.78 100 88.89 88.89 44.44 77.78 77.78 66.67 100 100 100 100 100
"245" 44.44 66.67 88.89 44.44 66.67 44.44 66.67 44.44 66.67 100 100 66.67 66.67 77.78 44.44 66.67 44.44 66.67 55.56 66.67 77.78 66.67 100 77.78
"246" 66.67 44.44 44.44 66.67 66.67 66.67 66.67 66.67 66.67 44.44 66.67 55.56 55.56 55.56 33.33 44.44 77.78 44.44 55.56 44.44 77.78 0 100 44.44
"247" 66.67 100 22.22 88.89 77.78 88.89 88.89 88.89 88.89 88.89 88.89 100 77.78 77.78 77.78 44.44 44.44 88.89 77.78 77.78 100 44.44 55.56 88.89
"248" 66.67 77.78 44.44 77.78 77.78 77.78 77.78 66.67 77.78 66.67 55.56 77.78 88.89 66.67 88.89 77.78 77.78 77.78 66.67 77.78 77.78 66.67 100 77.78
"249" 77.78 77.78 55.56 77.78 66.67 66.67 55.56 66.67 66.67 55.56 55.56 77.78 66.67 55.56 66.67 44.44 44.44 77.78 44.44 66.67 11.11 66.67 66.67 66.67
"250" 77.78 100 77.78 88.89 88.89 100 77.78 44.44 88.89 100 100 77.78 77.78 77.78 88.89 44.44 88.89 66.67 77.78 77.78 88.89 100 22.22 100
